month,day,hour,PM10,PM2.5,NO2,O3,Wind Speed,Wind Direction,Temperature,Relative Humidity,Air Pressure,datetime
1,1,0,61.2,43.266666666666666,39.0,17.0,0.4125,172.625,28.5,63.625,1012.75,2024-01-01 00:00:00
1,1,1,63.4,55.144444444444446,35.0,19.0,0.4875,169.375,28.275,63.625,1012.75,2024-01-01 01:00:00
1,1,2,87.6,45.52222222222222,35.0,19.0,0.45,139.375,28.2375,62.375,1012.125,2024-01-01 02:00:00
1,1,3,64.8,37.71111111111111,36.0,16.0,0.425,117.375,27.9,63.25,1011.875,2024-01-01 03:00:00
1,1,4,55.8,36.900000000000006,30.0,16.0,0.275,107.625,27.2,67.75,1011.125,2024-01-01 04:00:00
1,1,5,61.0,39.144444444444446,34.0,11.0,0.1875,116.625,26.6125,71.125,1011.125,2024-01-01 05:00:00
1,1,6,63.6,45.53333333333333,31.0,10.0,0.15,114.375,26.037499999999998,74.625,1011.25,2024-01-01 06:00:00
1,1,7,78.2,48.71111111111111,32.0,9.0,0.25,84.875,25.725,76.625,1012.0,2024-01-01 07:00:00
1,1,8,72.4,50.22222222222222,35.0,11.0,0.3,138.0,26.025,76.625,1012.75,2024-01-01 08:00:00
1,1,9,79.4,45.56666666666666,32.0,17.0,0.3875,113.125,27.925,68.5,1013.5,2024-01-01 09:00:00
1,1,10,63.0,31.766666666666666,24.0,30.0,0.7000000000000001,82.125,29.8875,59.375,1014.0,2024-01-01 10:00:00
1,1,11,45.0,25.38888888888889,22.0,36.0,0.6375000000000001,99.625,31.65,53.625,1014.0,2024-01-01 11:00:00
1,1,12,44.0,20.933333333333334,20.0,42.0,0.6125,124.0,32.85,48.75,1013.625,2024-01-01 12:00:00
1,1,13,35.4,18.288888888888888,18.0,44.0,0.7125,80.75,33.5375,46.0,1012.5,2024-01-01 13:00:00
1,1,14,31.0,16.433333333333334,15.0,50.0,0.7,154.375,33.775,45.125,1011.25,2024-01-01 14:00:00
1,1,15,33.8,17.22222222222222,15.0,53.0,0.7625,119.75,33.8,45.125,1010.25,2024-01-01 15:00:00
1,1,16,32.2,15.822222222222223,21.0,46.0,0.6375,96.625,33.95,44.75,1009.875,2024-01-01 16:00:00
1,1,17,29.0,16.799999999999997,25.0,41.0,0.5375,145.5,33.45,46.25,1010.0,2024-01-01 17:00:00
1,1,18,30.2,17.966666666666665,33.0,32.0,0.36250000000000004,133.875,32.5375,49.125,1010.625,2024-01-01 18:00:00
1,1,19,42.4,21.88888888888889,39.0,19.0,0.3875,102.125,31.475,53.25,1011.125,2024-01-01 19:00:00
1,1,20,53.2,25.711111111111112,48.0,11.0,0.35000000000000003,132.5,30.675,56.25,1012.0,2024-01-01 20:00:00
1,1,21,52.0,27.977777777777778,50.0,12.0,0.275,170.75,30.1125,57.875,1012.75,2024-01-01 21:00:00
1,1,22,52.6,30.166666666666668,49.0,12.0,0.28750000000000003,135.875,29.625,59.625,1013.0,2024-01-01 22:00:00
1,1,23,57.8,33.08888888888889,50.0,10.0,0.3,136.125,29.087500000000002,61.625,1013.0,2024-01-01 23:00:00
